time,flux
120.53833723649586,0.0001820372931637948
120.55877172743932,-0.0003827399394136233
120.57920611842565,-9.661629633928026e-05
120.599640709479,0.00015059171704190355
120.62007520059706,0.00034368726529176996
120.64050959177256,0.0004607392366604568
120.66094408301431,0.0004311866906989703
120.68137867430778,0.0002558638967471438
120.70181306567248,6.945626833054774e-05
120.72224755708883,-7.38044016734829e-05
120.74268214858604,-3.7802207944470645e-05
120.76311654013988,0.0001601802939543706
120.7835510317309,0.00034731648470587295
120.80398552338738,0.0004821278986091304
120.82442001511664,0.0003797494093322751
120.8448545068968,0.0002161066578385551
120.86528899875702,9.811392130409935e-05
120.88572359066166,0.00018882452322466214
120.9061579826157,0.000431503723460791
120.92659247465052,0.0004905096788434538
120.94702706673706,0.0005712083797739798
120.967461458873,0.000654410040395792
120.98789595108246,0.0006035216522719544
121.00833034333482,0.0004159209116505469
121.02876493566872,0.00029387515846779344
121.04919942806735,0.0003024628710677213
121.06963392049512,0.0002881658356681527
121.09006841300288,0.0004646939702197539
121.1105029055616,0.0006122586335395308
121.1309373981785,0.0005197719929899147
121.1513717908456,0.0003357463155382323
121.17180638357968,0.000328123730714891
121.19224087638575,0.000452207580867503
121.21267526922747,0.000527184593493546
121.23310986215074,0.0005417315430698011
121.2535443551169,0.0005330361149944451
121.27397874813325,0.0005312537198187695
121.2944132412158,0.00043125741034910625
121.31484783438646,0.0004453272968301114
121.33528232757816,0.00043245982836448427
121.3557167208346,0.0005447435508549869
121.37615131415076,0.0005337831181757569
121.39658580751713,0.0003641784796670766
121.41702020094816,0.00029564827808781224
121.4374546944382,0.0002758673642115905
121.45788928799448,0.00039530230884521345
121.4783236815856,0.0005162867251990999
121.49875817525026,0.0005508570869943163
121.51919266896584,0.0005389425891548782
121.53962726274769,0.0005143937088085693
121.56006175658696,0.00037482456342985415
121.58049615044727,0.00017792393896520764
121.60093074440374,2.5600924652868784e-05
121.62136523841764,6.891989864143966e-06
121.6417996324526,4.479919596245274e-05
121.66223412656836,0.0001185832080261573
121.6826687207431,0.00014421360324856636
121.70310311495268,0.00014636312287152897
121.72353760924308,0.00016615301479494526
121.74397220359242,-2.3358642878612557e-05
121.76440659797665,-0.0012084234200815391
121.78484109242709,-0.000983563827893108
121.8052755869212,-0.000864844936652398
121.8257100814808,-0.0007190694500971428
121.84614457609132,-0.000625083045555197
121.8665790707746,-0.0008145360824082237
121.88701356547972,-0.0011007138891235835
121.90744806027942,-0.001194694061669721
121.92788255510824,-0.001090576471647564
121.9483169499872,-0.0008243571471084898
121.96875154493318,-0.0005729176877157238
121.9891860399366,-0.0004692769751870607
122.00962043496838,-0.0005319099266039018
122.03005503008173,-0.0005885237767719875
122.05048952523066,-0.0008486590992539123
122.07092402045964,-0.0008855468003470257
122.09135841572424,-0.0007266010515634136
122.11179301104858,-0.0005759391942045111
122.13222750642308,-0.000612290738023491
122.1526619018623,-0.0006950083966789089
122.17309649733215,-0.0008298133992012957
122.19353099288128,-0.000909253436195745
122.21396538846602,-0.001053296071534482
122.23439988410972,-0.0009633632265424463
122.25483447980514,-0.000737014194602259
122.2752688755354,-0.0006830778079469635
122.29570337135374,-0.0006756268050276404
122.31613796722375,-0.0007669868533625168
122.33657236312864,-0.0008135900249603978
122.35700685909252,-0.0007463639129077215
122.3774413550782,-0.0004851511014578591
122.39787595115922,-0.0003203058784404522
122.41831034729694,-0.0004743619519074205
122.43874484345724,-0.0006639974094415635
122.4591794396838,-0.0007087537605856564
122.47961383593793,-0.0007505303878440062
122.50004833227284,-0.0006939726796582057
122.5204827286434,-0.0006479040108803291
122.54091732510278,-0.0007162609473089221
122.56135182155413,-0.0007719835241168926
122.58178631810006,-0.0008207334515718534
122.6022208147042,-0.000801066534708017
122.62265531133016,-0.0007670965295673016
122.6430898080216,-0.0006523134292087951
122.6635242047414,-0.000504930936461423
122.68395880154276,-0.00031052658933738986
